name,features,n_phases,phases,desc,risks
fp_p09_lock_flock__large_heap,"lock_flock,large_heap",11,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_large_heap_l01 f_large_heap_l02 f_large_heap ready served_first steady,pair probe: flock 배타 락 보유 (단일 인스턴스 락파일) + 대형 힙 (브라우저/게임의 리소스 로딩),lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); large_heap:none — dump 이미지만 커짐
fp_p10_lock_flock__logfile,"lock_flock,logfile",11,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,pair probe: flock 배타 락 보유 (단일 인스턴스 락파일) + append 로그 파일 fd (모든 서비스 데몬),lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); logfile:low — regular file fd
fp_p11_lock_flock__eventfd,"lock_flock,eventfd",9,init base_mem f_lock_flock_l01 f_lock_flock_l02 f_lock_flock f_eventfd ready served_first steady,pair probe: flock 배타 락 보유 (단일 인스턴스 락파일) + eventfd (이벤트 루프 wakeup),lock_flock:HIGH — 기본 옵션 dump 거부 예상 (--file-locks 필요); eventfd:low
fp_p12_lock_posix__timerfd,"lock_posix,timerfd",14,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd ready served_first steady,pair probe: fcntl POSIX 레코드 락 보유 (DB 파일 락) + 주기 timerfd (프레임/폴링 타이머),lock_posix:HIGH — --file-locks 필요; timerfd:low
fp_p13_lock_posix__epoll,"lock_posix,epoll",14,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,pair probe: fcntl POSIX 레코드 락 보유 (DB 파일 락) + epoll 인스턴스 + 등록 fd (이벤트 루프),lock_posix:HIGH — --file-locks 필요; epoll:low
fp_p14_lock_posix__thread1,"lock_posix,thread1",10,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix f_thread1 ready served_first steady,pair probe: fcntl POSIX 레코드 락 보유 (DB 파일 락) + 워커 스레드 1개 (I/O 헬퍼),lock_posix:HIGH — --file-locks 필요; thread1:low
fp_p15_lock_posix__large_heap,"lock_posix,large_heap",12,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix f_large_heap_l01 f_large_heap_l02 f_large_heap ready served_first steady,pair probe: fcntl POSIX 레코드 락 보유 (DB 파일 락) + 대형 힙 (브라우저/게임의 리소스 로딩),lock_posix:HIGH — --file-locks 필요; large_heap:none — dump 이미지만 커짐
fp_p16_lock_posix__logfile,"lock_posix,logfile",12,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,pair probe: fcntl POSIX 레코드 락 보유 (DB 파일 락) + append 로그 파일 fd (모든 서비스 데몬),lock_posix:HIGH — --file-locks 필요; logfile:low — regular file fd
fp_p17_lock_posix__eventfd,"lock_posix,eventfd",10,init base_mem f_lock_posix_l01 f_lock_posix_l02 f_lock_posix_l03 f_lock_posix f_eventfd ready served_first steady,pair probe: fcntl POSIX 레코드 락 보유 (DB 파일 락) + eventfd (이벤트 루프 wakeup),lock_posix:HIGH — --file-locks 필요; eventfd:low
fp_p18_netlink__timerfd,"netlink,timerfd",16,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd ready served_first steady,pair probe: NETLINK_ROUTE 소켓 (네트워크 상태 감시) + 주기 timerfd (프레임/폴링 타이머),netlink:HIGH — netlink 복원 제한; timerfd:low
fp_p19_netlink__epoll,"netlink,epoll",16,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,pair probe: NETLINK_ROUTE 소켓 (네트워크 상태 감시) + epoll 인스턴스 + 등록 fd (이벤트 루프),netlink:HIGH — netlink 복원 제한; epoll:low
fp_p20_netlink__thread1,"netlink,thread1",12,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_thread1 ready served_first steady,pair probe: NETLINK_ROUTE 소켓 (네트워크 상태 감시) + 워커 스레드 1개 (I/O 헬퍼),netlink:HIGH — netlink 복원 제한; thread1:low
fp_p21_netlink__large_heap,"netlink,large_heap",14,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_large_heap_l01 f_large_heap_l02 f_large_heap ready served_first steady,pair probe: NETLINK_ROUTE 소켓 (네트워크 상태 감시) + 대형 힙 (브라우저/게임의 리소스 로딩),netlink:HIGH — netlink 복원 제한; large_heap:none — dump 이미지만 커짐
fp_p22_netlink__logfile,"netlink,logfile",14,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_logfile_l01 f_logfile_l02 f_logfile ready served_first steady,pair probe: NETLINK_ROUTE 소켓 (네트워크 상태 감시) + append 로그 파일 fd (모든 서비스 데몬),netlink:HIGH — netlink 복원 제한; logfile:low — regular file fd
fp_p23_netlink__eventfd,"netlink,eventfd",12,init base_mem f_netlink_l01 f_netlink_l02 f_netlink_l03 f_netlink_l04 f_netlink_l05 f_netlink f_eventfd ready served_first steady,pair probe: NETLINK_ROUTE 소켓 (네트워크 상태 감시) + eventfd (이벤트 루프 wakeup),netlink:HIGH — netlink 복원 제한; eventfd:low
fp_p24_shm_sysv__timerfd,"shm_sysv,timerfd",15,init base_mem f_shm_sysv_l01 f_shm_sysv_l02 f_shm_sysv_l03 f_shm_sysv_l04 f_shm_sysv f_timerfd_l01 f_timerfd_l02 f_timerfd_l03 f_timerfd_l04 f_timerfd ready served_first steady,"pair probe: SysV 공유메모리, attach 후 IPC_RMID (오디오/AV 파이프라인 레거시) + 주기 timerfd (프레임/폴링 타이머)",shm_sysv:HIGH — RMID된 세그먼트 복원; timerfd:low
fp_p25_shm_sysv__epoll,"shm_sysv,epoll",15,init base_mem f_shm_sysv_l01 f_shm_sysv_l02 f_shm_sysv_l03 f_shm_sysv_l04 f_shm_sysv f_epoll_l01 f_epoll_l02 f_epoll_l03 f_epoll_l04 f_epoll ready served_first steady,"pair probe: SysV 공유메모리, attach 후 IPC_RMID (오디오/AV 파이프라인 레거시) + epoll 인스턴스 + 등록 fd (이벤트 루프)",shm_sysv:HIGH — RMID된 세그먼트 복원; epoll:low
